656 5140
1 625 9
2 635 69
3 317 30
4 96 63
5 532 9
6 504 78
7 220 54
8 61 27
9 618 48
10 184 72
11 298 24
12 319 57
13 445 51
14 620 45
15 54 84
16 18 63
17 466 51
18 271 9
19 644 75
20 601 75
21 231 66
22 379 6
23 24 69
24 281 30
25 138 72
26 497 15
27 151 24
28 277 25
29 153 6
30 77 39
31 530 24
32 300 12
33 499 66
34 137 30
35 612 18
36 282 15
37 297 30
38 165 18
39 15 27
40 39 69
41 138 30
42 166 48
43 485 72
44 98 63
45 569 48
46 330 27
47 186 21
48 179 12
49 612 3
50 84 30
51 201 42
52 280 60
53 296 57
54 422 81
55 554 18
56 545 24
57 428 9
58 157 30
59 460 75
60 69 51
61 601 27
62 35 6
63 18 30
64 344 84
65 412 60
66 126 30
67 251 84
68 255 6
69 228 3
70 437 78
71 298 18
72 563 18
73 162 33
74 35 66
75 500 60
76 476 3
77 158 33
78 392 36
79 257 72
80 137 3
81 39 51
82 193 27
83 430 6
84 645 24
85 504 69
86 67 57
87 645 60
88 228 39
89 341 18
90 627 9
91 517 69
92 531 66
93 589 30
94 261 42
95 23 9
96 486 54
97 102 72
98 538 27
99 609 69
100 64 6
101 533 3
102 399 18
103 161 6
104 229 57
105 182 33
106 388 72
107 626 36
108 67 21
109 52 78
110 578 39
111 20 6
112 120 51
113 57 36
114 199 48
115 240 63
116 468 21
117 510 69
118 58 3
119 57 6
120 248 54
121 220 42
122 477 24
123 302 39
124 128 36
125 526 84
126 346 6
127 245 24
128 81 12
129 76 6
130 450 30
131 606 81
132 646 3
133 189 18
134 85 33
135 90 24
136 24 39
137 645 39
138 181 12
139 444 6
140 376 69
141 639 6
142 580 72
143 183 21
144 337 51
145 210 45
146 408 81
147 94 39
148 383 36
149 110 6
150 248 84
151 377 60
152 68 75
153 491 69
154 331 69
155 340 18
156 591 48
157 337 6
158 51 54
159 179 6
160 288 75
161 604 39
162 112 57
163 332 12
164 518 12
165 125 39
166 231 84
167 584 3
168 76 6
169 482 78
170 357 6
171 298 69
172 610 21
173 67 63
174 106 15
175 63 45
176 295 45
177 26 15
178 232 78
179 433 24
180 40 9
181 337 57
182 631 12
183 612 78
184 513 72
185 372 6
186 262 51
187 172 30
188 42 84
189 652 57
190 2 54
191 400 27
192 119 63
193 376 6
194 572 21
195 85 84
196 274 9
197 193 9
198 432 9
199 347 48
200 247 63
201 608 81
202 215 18
203 615 54
204 556 81
205 506 81
206 351 18
207 147 30
208 421 6
209 270 66
210 195 27
211 624 36
212 259 57
213 141 66
214 60 57
215 474 81
216 357 60
217 632 75
218 48 51
219 294 12
220 526 6
221 643 27
222 524 36
223 185 9
224 355 84
225 261 6
226 423 54
227 301 6
228 620 6
229 601 66
230 424 3
231 224 3
232 447 81
233 172 66
234 9 72
235 82 6
236 357 45
237 357 54
238 430 21
239 598 9
240 536 3
241 499 84
242 148 63
243 15 84
244 254 42
245 366 27
246 186 60
247 627 72
248 236 78
249 300 12
250 230 63
251 276 84
252 633 30
253 379 21
254 426 69
255 423 75
256 511 63
257 292 84
258 399 60
259 554 6
260 522 60
261 201 42
262 366 9
263 573 75
264 35 12
265 278 60
266 509 27
267 469 6
268 114 21
269 98 30
270 410 78
271 278 48
272 192 69
273 135 33
274 272 69
275 630 3
276 656 27
277 340 81
278 487 48
279 344 81
280 584 63
281 459 42
282 650 72
283 396 6
284 655 18
285 564 21
286 287 18
287 202 27
288 615 81
289 242 30
290 93 57
291 469 9
292 343 75
293 47 39
294 555 66
295 364 63
296 424 39
297 325 30
298 655 30
299 309 30
300 159 75
301 415 39
302 156 78
303 597 57
304 85 72
305 142 33
306 636 42
307 567 36
308 458 15
309 61 12
310 332 3
311 603 33
312 252 63
313 327 66
314 192 3
315 413 81
316 28 30
317 514 36
318 38 12
319 504 75
320 621 54
321 240 84
322 21 63
323 591 21
324 459 51
325 116 72
326 339 81
327 394 27
328 287 15
329 292 27
330 374 9
331 526 84
332 404 63
333 129 24
334 238 48
335 138 42
336 110 21
337 96 39
338 575 3
339 193 45
